"Date","SessionStart","ScanStart","Type","Observer","Recorder","DeviceName","Group","GroupBehavior","GroupVisibility","ScanID","ScanBehavior","ScanBehaviorType","InvolvedID","x_position","y_position","device_ID","layout_info_json_version","behaviors_json_version","session_start_timeStamp","session_end_timeStamp","focal_start_timeStamp","scan_timeStamp"
2020-03-06,"06:55:32","07:10:57","group scan","Kerensa","Kerensa","Diana","T","Resting","25% or less Visible","TEL","REST",NA,NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-06,06:55:32",NA,"2020-03-06,07:10:57","2020-03-06,07:10:57"
2020-03-06,"06:55:32","07:10:57","group scan","Kerensa","Kerensa","Diana","T","Resting","25% or less Visible","TRU",NA,NA,NA,-4.861017,2.277966,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-06,06:55:32",NA,"2020-03-06,07:10:57","2020-03-06,07:10:57"
2020-03-06,"07:17:05","07:17:11","group scan","Kerensa","Kerensa","Diana","T","Foraging - Tree","25% or less Visible","TAB","FORAGE","Tree",NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-06,07:17:05",NA,"2020-03-06,07:17:11","2020-03-06,07:17:11"
2020-03-06,"07:17:05","07:23:16","group scan","Kerensa","Kerensa","Diana","T","Foraging - Tree","25% or less Visible","TEV","FEED",NA,NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-06,07:17:05",NA,"2020-03-06,07:23:16","2020-03-06,07:23:16"
2020-03-06,"07:17:05","07:33:58","group scan","Kerensa","Kerensa","Diana","T","Resting","25% or less Visible","TIC","REST",NA,NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-06,07:17:05",NA,"2020-03-06,07:33:58","2020-03-06,07:33:58"
2020-03-06,"07:17:05","07:33:58","group scan","Kerensa","Kerensa","Diana","T","Resting","25% or less Visible","TEL",NA,NA,NA,-2.867796,4.332203,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-06,07:17:05",NA,"2020-03-06,07:33:58","2020-03-06,07:33:58"
2020-03-06,"07:17:05","07:54:07","group scan","Kerensa","Kerensa","Diana","T","Traveling - Tree","25% or less Visible","TAI","TRAVEL","Tree",NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-06,07:17:05",NA,"2020-03-06,07:54:07","2020-03-06,07:54:07"
2020-03-06,"07:17:05","08:39:45","group scan","Kerensa","Kerensa","Diana","T","Resting","25% or less Visible","TEV","REST",NA,NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-06,07:17:05",NA,"2020-03-06,08:39:45","2020-03-06,08:39:45"
2020-03-06,"07:17:05","08:39:45","group scan","Kerensa","Kerensa","Diana","T","Resting","25% or less Visible","TEL",NA,NA,NA,-1.830508,2.725424,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-06,07:17:05",NA,"2020-03-06,08:39:45","2020-03-06,08:39:45"
2020-03-06,"07:17:05","08:39:45","group scan","Kerensa","Kerensa","Diana","T","Resting","25% or less Visible","TRU",NA,NA,NA,-3.091525,1.301695,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-06,07:17:05",NA,"2020-03-06,08:39:45","2020-03-06,08:39:45"
