"Date","SessionStart","FocalStart","FocalEnd","Type","Observer","Recorder","DeviceName","Group","FocalID","BehaviorStart","Actor","Behavior","Recipient","BehaviorType","Involved","Against","Start/End","Part","comment","device_ID","layout_info_json_version","behaviors_json_version","session_start_timeStamp","session_end_timeStamp","focal_start_timeStamp","focal_end_timeStamp"
2021-05-10,"09:21:52","13:36:13","13:40:38","abort","Juan Carlos;Emily;Other","Emily","Jane","T","TOR","13:36:40","TOR","Travel State","TOR",NA,NA,NA,NA,NA,NA,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-05-10,09:21:52","2021-05-10,14:37:21","2021-05-10,13:36:13","2021-05-10,13:40:38"
2021-05-10,"09:21:52","13:36:13","13:40:38","abort","Juan Carlos;Emily;Other","Emily","Jane","T","TOR","13:36:48","TOR","Leave","TRU",NA,NA,NA,NA,NA,NA,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-05-10,09:21:52","2021-05-10,14:37:21","2021-05-10,13:36:13","2021-05-10,13:40:38"
2021-05-19,"13:14:48","14:35:49","14:45:49","abort","Alex;Kerensa","Alex;Kerensa","Jane","T","TIC","14:36:16","TIC","Other State","TIC",NA,NA,NA,NA,NA,NA,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-05-19,13:14:48","2021-05-19,14:48:15","2021-05-19,14:35:49","2021-05-19,14:45:49"
2021-05-19,"13:14:48","14:35:49","14:45:49","abort","Alex;Kerensa","Alex;Kerensa","Jane","T","TIC","14:36:21","TIC","Foraging State","TIC",NA,NA,NA,NA,NA,NA,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-05-19,13:14:48","2021-05-19,14:48:15","2021-05-19,14:35:49","2021-05-19,14:45:49"
2021-05-19,"13:14:48","14:35:49","14:45:49","abort","Alex;Kerensa","Alex;Kerensa","Jane","T","TIC","14:37:20","TIC","Travel State","TIC",NA,NA,NA,NA,NA,NA,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-05-19,13:14:48","2021-05-19,14:48:15","2021-05-19,14:35:49","2021-05-19,14:45:49"
2021-05-19,"13:14:48","14:35:49","14:45:49","abort","Alex;Kerensa","Alex;Kerensa","Jane","T","TIC","14:39:26","TIC","Vigilant","TIC",NA,NA,NA,NA,NA,NA,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-05-19,13:14:48","2021-05-19,14:48:15","2021-05-19,14:35:49","2021-05-19,14:45:49"
2021-05-19,"13:14:48","14:35:49","14:45:49","abort","Alex;Kerensa","Alex;Kerensa","Jane","T","TIC","14:39:29","TIC","Yawn","TIC",NA,NA,NA,NA,NA,NA,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-05-19,13:14:48","2021-05-19,14:48:15","2021-05-19,14:35:49","2021-05-19,14:45:49"
2021-05-19,"13:14:48","14:35:49","14:45:49","abort","Alex;Kerensa","Alex;Kerensa","Jane","T","TIC","14:39:54","TIC","Rub Face","TIC",NA,NA,NA,NA,NA,NA,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-05-19,13:14:48","2021-05-19,14:48:15","2021-05-19,14:35:49","2021-05-19,14:45:49"
2021-05-19,"13:14:48","14:35:49","14:45:49","abort","Alex;Kerensa","Alex;Kerensa","Jane","T","TIC","14:40:13","TIC","Urinate","TIC",NA,NA,NA,NA,NA,NA,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-05-19,13:14:48","2021-05-19,14:48:15","2021-05-19,14:35:49","2021-05-19,14:45:49"
2021-05-19,"13:14:48","14:35:49","14:45:49","abort","Alex;Kerensa","Alex;Kerensa","Jane","T","TIC","14:43:24","TIC","Eat","TIC",NA,NA,NA,NA,"Plant",NA,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-05-19,13:14:48","2021-05-19,14:48:15","2021-05-19,14:35:49","2021-05-19,14:45:49"
2021-05-19,"13:14:48","14:35:49","14:45:49","abort","Alex;Kerensa","Alex;Kerensa","Jane","T","TIC","14:43:39","TIC","Approach","TRU",NA,NA,NA,NA,NA,NA,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-05-19,13:14:48","2021-05-19,14:48:15","2021-05-19,14:35:49","2021-05-19,14:45:49"
2021-05-19,"13:14:48","14:35:49","14:45:49","abort","Alex;Kerensa","Alex;Kerensa","Jane","T","TIC","14:43:42","TIC","Approach","TIQ",NA,NA,NA,NA,NA,NA,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-05-19,13:14:48","2021-05-19,14:48:15","2021-05-19,14:35:49","2021-05-19,14:45:49"
2021-05-19,"13:14:48","14:35:49","14:45:49","abort","Alex;Kerensa","Alex;Kerensa","Jane","T","TIC","14:43:45","TIC","Leave","TRU",NA,NA,NA,NA,NA,NA,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-05-19,13:14:48","2021-05-19,14:48:15","2021-05-19,14:35:49","2021-05-19,14:45:49"
2021-05-19,"13:14:48","14:35:49","14:45:49","abort","Alex;Kerensa","Alex;Kerensa","Jane","T","TIC","14:43:47","TIC","Leave","TIQ",NA,NA,NA,NA,NA,NA,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-05-19,13:14:48","2021-05-19,14:48:15","2021-05-19,14:35:49","2021-05-19,14:45:49"
2021-05-19,"13:14:48","14:35:49","14:45:49","abort","Alex;Kerensa","Alex;Kerensa","Jane","T","TIC","14:44:01","TIC","Approach","THO",NA,NA,NA,NA,NA,NA,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-05-19,13:14:48","2021-05-19,14:48:15","2021-05-19,14:35:49","2021-05-19,14:45:49"
2021-05-19,"13:14:48","14:35:49","14:45:49","abort","Alex;Kerensa","Alex;Kerensa","Jane","T","TIC","14:44:03","TIC","Leave","THO",NA,NA,NA,NA,NA,NA,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-05-19,13:14:48","2021-05-19,14:48:15","2021-05-19,14:35:49","2021-05-19,14:45:49"
2021-05-19,"13:14:48","14:35:49","14:45:49","abort","Alex;Kerensa","Alex;Kerensa","Jane","T","TIC","14:44:32","TIC","Resting State","TIC",NA,NA,NA,NA,NA,NA,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-05-19,13:14:48","2021-05-19,14:48:15","2021-05-19,14:35:49","2021-05-19,14:45:49"
2021-05-19,"13:14:48","14:35:49","14:45:49","abort","Alex;Kerensa","Alex;Kerensa","Jane","T","TIC","14:44:53","TIC","Travel State","TIC",NA,NA,NA,NA,NA,NA,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-05-19,13:14:48","2021-05-19,14:48:15","2021-05-19,14:35:49","2021-05-19,14:45:49"
2021-05-19,"13:14:48","14:35:49","14:45:49","abort","Alex;Kerensa","Alex;Kerensa","Jane","T","TIC","14:44:56","TIC","Approach","THO",NA,NA,NA,NA,NA,NA,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-05-19,13:14:48","2021-05-19,14:48:15","2021-05-19,14:35:49","2021-05-19,14:45:49"
2021-05-19,"13:14:48","14:35:49","14:45:49","abort","Alex;Kerensa","Alex;Kerensa","Jane","T","TIC","14:45:00","THO","Leave","TIC",NA,NA,NA,NA,NA,NA,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-05-19,13:14:48","2021-05-19,14:48:15","2021-05-19,14:35:49","2021-05-19,14:45:49"
2021-05-19,"13:14:48","14:35:49","14:45:49","abort","Alex;Kerensa","Alex;Kerensa","Jane","T","TIC","14:45:30","TIC","Resting State","TIC",NA,NA,NA,NA,NA,NA,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-05-19,13:14:48","2021-05-19,14:48:15","2021-05-19,14:35:49","2021-05-19,14:45:49"
2021-05-19,"13:14:48","14:46:44","14:47:31","abort","Alex;Kerensa","Alex;Kerensa","Jane","T","TIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-05-19,13:14:48","2021-05-19,14:48:15","2021-05-19,14:46:44","2021-05-19,14:47:31"
2021-04-29,"08:10:30","10:15:09","10:17:10","abort","Kerensa;Emily","Emily","Marie","T","TEL","10:15:32","TEL","Resting State","TEL",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2021-04-29,08:10:30",NA,"2021-04-29,10:15:09","2021-04-29,10:17:10"
2021-04-29,"08:10:30","10:15:09","10:17:10","abort","Kerensa;Emily","Emily","Marie","T","TEL","10:16:19","TER","Approach","TEL",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2021-04-29,08:10:30",NA,"2021-04-29,10:15:09","2021-04-29,10:17:10"
2021-05-04,"09:25:07","11:18:58","11:27:41","abort","Missy;Emily","Emily","Marie","T","TIC","11:19:39","TIC","Foraging State","TIC",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2021-05-04,09:25:07","2021-05-04,15:00:49","2021-05-04,11:18:58","2021-05-04,11:27:41"
2021-05-04,"09:25:07","11:18:58","11:27:41","abort","Missy;Emily","Emily","Marie","T","TIC","11:19:52","TIC","Approach","TAN",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2021-05-04,09:25:07","2021-05-04,15:00:49","2021-05-04,11:18:58","2021-05-04,11:27:41"
2021-05-04,"09:25:07","11:18:58","11:27:41","abort","Missy;Emily","Emily","Marie","T","TIC","11:20:23","TAN","Leave","TIC",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2021-05-04,09:25:07","2021-05-04,15:00:49","2021-05-04,11:18:58","2021-05-04,11:27:41"
2021-05-04,"09:25:07","11:18:58","11:27:41","abort","Missy;Emily","Emily","Marie","T","TIC","11:21:01","TEL","Approach","TIC",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2021-05-04,09:25:07","2021-05-04,15:00:49","2021-05-04,11:18:58","2021-05-04,11:27:41"
2021-05-04,"09:25:07","11:18:58","11:27:41","abort","Missy;Emily","Emily","Marie","T","TIC","11:21:07","TIC","Eat","TIC",NA,NA,NA,NA,"Animal",NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2021-05-04,09:25:07","2021-05-04,15:00:49","2021-05-04,11:18:58","2021-05-04,11:27:41"
2021-05-04,"09:25:07","11:18:58","11:27:41","abort","Missy;Emily","Emily","Marie","T","TIC","11:21:48","TIC","Eat","TIC",NA,NA,NA,NA,"Unknown",NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2021-05-04,09:25:07","2021-05-04,15:00:49","2021-05-04,11:18:58","2021-05-04,11:27:41"
2021-05-04,"09:25:07","11:18:58","11:27:41","abort","Missy;Emily","Emily","Marie","T","TIC","11:22:02","TIC","Leave","TEL",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2021-05-04,09:25:07","2021-05-04,15:00:49","2021-05-04,11:18:58","2021-05-04,11:27:41"
